States,Female,abbr,id
Alaska,Mary,AK,2
Alabama,Mary,AL,1
Arkansas,Mary,AR,5
Arizona,Mary,AZ,4
California,Jennifer,CA,6
Colorado,Mary,CO,8
Connecticut,Mary,CT,9
District of Colombia,Mary,DC,11
Delaware,Mary,DE,10
Florida,Mary,FL,12
Georgia,Mary,GA,13
Hawaii,Jennifer,HI,15
Iowa,Mary,IA,19
Idaho,Jennifer,ID,16
Illinois,Mary,IL,17
Indiana,Mary,IN,18
Kansas,Mary,KS,20
Kentucky,Mary,KY,21
Louisiana,Mary,LA,22
Massachusetts,Mary,MA,25
Maryland,Mary,MD,24
Maine,Mary,ME,23
Michigan,Mary,MI,26
Minnesota,Mary,MN,27
Missouri,Mary,MO,29
Mississippi,Mary,MS,28
Montana,Mary,MT,30
North Carolina,Mary,NC,37
North Dakota,Mary,ND,38
Nebraska,Mary,NE,31
New Hampshire,Jennifer,NH,33
New Jersey,Mary,NJ,34
New Mexico,Mary,NM,35
Nevada,Jennifer,NV,32
New York,Mary,NY,36
Ohio,Mary,OH,39
Oklahoma,Mary,OK,40
Oregon,Jennifer,OR,41
Pennsylvania,Mary,PA,42
Rhode Island,Mary,RI,44
South Carolina,Mary,SC,45
South Dakota,Mary,SD,46
Tennessee,Mary,TN,47
Texas,Mary,TX,48
Utah,Jennifer,UT,49
Virginia,Mary,VA,51
Vermont,Mary,VT,50
Washington,Jennifer,WA,53
Wisconsin,Mary,WI,55
West Virginia,Mary,WV,54
Wyoming,Mary,WY,56
