Date,Amount Spending
2002/1/1,25972000000
2002/2/1,25721000000
2002/3/1,29826000000
2002/4/1,33008000000
2002/5/1,35059000000
2002/6/1,37908000000
2002/7/1,38880000000
2002/8/1,38359000000
2002/9/1,36082000000
2002/10/1,36226000000
2002/11/1,34570000000
2002/12/1,30352000000
2003/1/1,28794000000
2003/2/1,28015000000
2003/3/1,32176000000
2003/4/1,34739000000
2003/5/1,37169000000
2003/6/1,40408000000
2003/7/1,43048000000
2003/8/1,43671000000
2003/9/1,41846000000
2003/10/1,42798000000
2003/11/1,41530000000
2003/12/1,37059000000
2004/1/1,34112000000
2004/2/1,33451000000
2004/3/1,39395000000
2004/4/1,42264000000
2004/5/1,45976000000
2004/6/1,49245000000
2004/7/1,52065000000
2004/8/1,53427000000
2004/9/1,49850000000
2004/10/1,49831000000
2004/11/1,46988000000
2004/12/1,41806000000
2005/1/1,39584000000
2005/2/1,39828000000
2005/3/1,45962000000
2005/4/1,49906000000
2005/5/1,52580000000
2005/6/1,56941000000
2005/7/1,60026000000
2005/8/1,61377000000
2005/9/1,58829000000
2005/10/1,59799000000
2005/11/1,55939000000
2005/12/1,49412000000
2006/1/1,46016000000
2006/2/1,45647000000
2006/3/1,52192000000
2006/4/1,54544000000
2006/5/1,55564000000
2006/6/1,56924000000
2006/7/1,57289000000
2006/8/1,56489000000
2006/9/1,52193000000
2006/10/1,51075000000
2006/11/1,45842000000
2006/12/1,40100000000
2007/1/1,36794000000
2007/2/1,35889000000
2007/3/1,41096000000
2007/4/1,44144000000
2007/5/1,45233000000
2007/6/1,47152000000
2007/7/1,47952000000
2007/8/1,47101000000
2007/9/1,42668000000
2007/10/1,41444000000
2007/11/1,35974000000
2007/12/1,30621000000
2008/1/1,27607000000
2008/2/1,26736000000
2008/3/1,30033000000
2008/4/1,32313000000
2008/5/1,33213000000
2008/6/1,34818000000
2008/7/1,35452000000
2008/8/1,35076000000
2008/9/1,31938000000
2008/10/1,31486000000
2008/11/1,26080000000
2008/12/1,21909000000
2009/1/1,19056000000
2009/2/1,17915000000
2009/3/1,19317000000
2009/4/1,20502000000
2009/5/1,20416000000
2009/6/1,22148000000
2009/7/1,23566000000
2009/8/1,24758000000
2009/9/1,23767000000
2009/10/1,24403000000
2009/11/1,20906000000
2009/12/1,18789000000
2010/1/1,17035000000
2010/2/1,16838000000
2010/3/1,19292000000
2010/4/1,21668000000
2010/5/1,22229000000
2010/6/1,23795000000
2010/7/1,23811000000
2010/8/1,24009000000
2010/9/1,22845000000
2010/10/1,23263000000
2010/11/1,19798000000
2010/12/1,17747000000
2011/1/1,16277000000
2011/2/1,16026000000
2011/3/1,18562000000
2011/4/1,20897000000
2011/5/1,21733000000
2011/6/1,23495000000
2011/7/1,23941000000
2011/8/1,24979000000
2011/9/1,23822000000
2011/10/1,24223000000
2011/11/1,20369000000
2011/12/1,18322000000
2012/1/1,16898000000
2012/2/1,16703000000
2012/3/1,19303000000
2012/4/1,21737000000
2012/5/1,23122000000
2012/6/1,25077000000
2012/7/1,25812000000
2012/8/1,26935000000
2012/9/1,26501000000
2012/10/1,27771000000
2012/11/1,24338000000
2012/12/1,21860000000
2013/1/1,20401000000
2013/2/1,20279000000
2013/3/1,23883000000
2013/4/1,26333000000
2013/5/1,27976000000
2013/6/1,29795000000
2013/7/1,30732000000
2013/8/1,31565000000
2013/9/1,31120000000
2013/10/1,32103000000
2013/11/1,28767000000
2013/12/1,26264000000
2014/1/1,24487000000
2014/2/1,23867000000
2014/3/1,28360000000
2014/4/1,31002000000
2014/5/1,32678000000
2014/6/1,34143000000
2014/7/1,34539000000
2014/8/1,34510000000
2014/9/1,34604000000
2014/10/1,35218000000
2014/11/1,32033000000
2014/12/1,29418000000
2015/1/1,27554000000
2015/2/1,27203000000
2015/3/1,32272000000
2015/4/1,35501000000
2015/5/1,38223000000
2015/6/1,40861000000
2015/7/1,41808000000
2015/8/1,42189000000
2015/9/1,42130000000
2015/10/1,41725000000
2015/11/1,37415000000
2015/12/1,33374000000
2016/1/1,30797000000
2016/2/1,30745000000
2016/3/1,36635000000
2016/4/1,37523000000
2016/5/1,39474000000
2016/6/1,42223000000
2016/7/1,43577000000
2016/8/1,42857000000
2016/9/1,42523000000
