country,total deaths(lg),total cases(lg),deaths per million,Land
Afghanistan,3.340642378,4.712026429,7.502199677,Asia
Albania,3.072249898,4.765787727,20.25791203,Europe
Algeria,3.440279213,4.99830294,7.927736121,Africa
Andorra,1.924279286,3.905741927,32.97223074,Europe
Angola,2.607455023,4.244351353,3.510413081,Africa
Antigua and Barbuda,0.698970004,2.201397124,7.145488087,America
Argentina,4.635935901,6.210990714,30.93278196,America
Armenia,3.450710878,5.202512837,30.86543374,Asia
Australia,2.958563883,4.453700473,5.970510866,Oceania
Austria,3.793930007,5.557284584,26.28387338,Europe
Azerbaijan,3.421768401,5.339848783,16.1392379,Asia
Bahamas,2.230448921,3.896029912,20.79175317,America
Bahrain,2.546542663,4.966962595,14.38283699,Asia
Bangladesh,3.878464345,5.710548905,6.774880073,Asia
Barbados,0.84509804,2.583198774,4.935483766,America
Belarus,3.153509989,5.288437036,12.2759521,Europe
Belgium,4.290657766,5.810565842,41.04822773,Europe
Belize,2.394451681,4.032457583,24.97418667,America
Benin,1.643452676,3.512016969,1.904993438,Africa
Bhutan,,2.826074803,,Asia
Bolivia,3.962132469,5.204456431,28.02040328,America
Bosnia and Herzegovina,3.607455023,5.045264286,35.13472641,Europe
Botswana,1.62324929,4.170408412,4.226109322,Africa
Brazil,5.289921012,6.885133438,30.28450099,America
Brunei,0.477121255,2.195899652,2.618587405,Asia
Bulgaria,3.879439966,5.305922886,33.01993337,Europe
Burkina Faso,1.929418926,3.826528306,2.016432493,Africa
Burundi,0.301029996,2.912753304,0.409878031,Africa
Cambodia,,2.5774918,,Asia
Cameroon,2.651278014,4.419575781,4.108040896,Africa
Canada,4.194014546,5.766716896,20.35138816,America
Cape Verde,2.053078443,4.073351702,14.25629685,Africa
Central African Republic,1.799340549,3.695744275,3.611647823,Africa
Chad,2.017033339,3.324899497,2.516147849,Africa
Chile,4.220317336,5.784598038,29.47527778,America
China,3.679609572,4.982103816,1.822635454,Asia
Colombia,4.635614418,6.215578085,29.14213444,America
Comoros,1,2.915399835,3.391164992,Africa
Congo,2.033423755,3.851686315,4.424025316,Africa
Costa Rica,3.339451441,5.228710825,20.71052872,America
Cote d'Ivoire,2.136720567,4.351989455,2.279034883,Africa
Croatia,3.593286067,5.323946828,30.90098704,Europe
Cuba,2.164352856,4.07419453,3.590264614,America
Cyprus,2.075546961,4.342797591,11.65589979,Europe
Czechia,4.063708559,5.856524077,32.88365856,Europe
Democratic Republic of Congo,2.771587481,4.246941512,2.568851884,Africa
Denmark,3.113274692,5.215150923,14.96976954,Europe
Djibouti,1.785329835,3.765743041,7.857544146,Africa
Dominica,,1.944482672,,America
Dominican Republic,3.382737266,5.232449724,14.91747298,America
Ecuador,4.147181472,5.327383459,28.20354588,America
Egypt,3.882581454,5.14007416,8.635334388,Africa
El Salvador,3.122870923,4.66238002,14.30342616,America
Equatorial Guinea,1.934498451,3.722387094,7.829303928,Africa
Eritrea,0,3.097604329,0.531036722,Africa
Estonia,2.359835482,4.447002898,13.13887362,Europe
Eswatini,2.311753861,3.971183041,13.29281761,Africa
