date,total cases and total deaths(M),symbol
2020/1/1,0,total cases
2020/1/1,0,total deaths
2020/1/1,0,total recovered
2020/1/2,0,total cases
2020/1/2,0,total deaths
2020/1/2,0,total recovered
2020/1/3,0,total cases
2020/1/3,0,total deaths
2020/1/3,0,total recovered
2020/1/4,0,total cases
2020/1/4,0,total deaths
2020/1/4,0,total recovered
2020/1/5,0,total cases
2020/1/5,0,total deaths
2020/1/5,0,total recovered
2020/1/6,0,total cases
2020/1/6,0,total deaths
2020/1/6,0,total recovered
2020/1/7,0,total cases
2020/1/7,0,total deaths
2020/1/7,0,total recovered
2020/1/8,0,total cases
2020/1/8,0,total deaths
2020/1/8,0,total recovered
2020/1/9,0,total cases
2020/1/9,0,total deaths
2020/1/9,0,total recovered
2020/1/10,0,total cases
2020/1/10,0,total deaths
2020/1/10,0,total recovered
2020/1/11,0,total cases
2020/1/11,0,total deaths
2020/1/11,0,total recovered
2020/1/12,0,total cases
2020/1/12,0,total deaths
2020/1/12,0,total recovered
2020/1/13,0,total cases
2020/1/13,0,total deaths
2020/1/13,0,total recovered
2020/1/14,0,total cases
2020/1/14,0,total deaths
2020/1/14,0,total recovered
2020/1/15,0,total cases
2020/1/15,0,total deaths
2020/1/15,0,total recovered
2020/1/16,0,total cases
2020/1/16,0,total deaths
2020/1/16,0,total recovered
2020/1/17,0,total cases
2020/1/17,0,total deaths
2020/1/17,0,total recovered
2020/1/18,0,total cases
2020/1/18,0,total deaths
2020/1/18,0,total recovered
2020/1/19,0,total cases
2020/1/19,0,total deaths
2020/1/19,0,total recovered
2020/1/20,0,total cases
2020/1/20,0,total deaths
2020/1/20,0,total recovered
2020/1/21,0,total cases
2020/1/21,0,total deaths
2020/1/21,0,total recovered
2020/2/11,0.004684,total recovered
2020/2/12,0.045229,total cases
2020/2/12,0.001118,total deaths
2020/2/12,0.005151,total recovered
2020/2/13,0.060382,total cases
2020/2/13,0.001371,total deaths
2020/2/13,0.006294,total recovered
2020/2/14,0.066909,total cases
2020/2/14,0.001523,total deaths
2020/2/14,0.008057,total recovered
2020/2/15,0.069051,total cases
2020/2/15,0.001666,total deaths
2020/2/15,0.009396,total recovered
2020/2/16,0.071235,total cases
2020/2/16,0.00177,total deaths
2020/2/16,0.010866,total recovered
2020/2/17,0.07327,total cases
2020/2/17,0.001868,total deaths
2020/2/17,0.012583,total recovered
2020/2/18,0.075152,total cases
2020/2/18,0.002008,total deaths
2020/2/18,0.014352,total recovered
2020/2/19,0.075652,total cases
2020/2/19,0.002123,total deaths
2020/2/19,0.016121,total recovered
2020/2/20,0.076212,total cases
2020/2/20,0.002248,total deaths
2020/2/20,0.018179,total recovered
2020/2/21,0.076841,total cases
2020/2/21,0.002252,total deaths
2020/2/21,0.018892,total recovered
2020/2/22,0.078602,total cases
2020/2/22,0.002459,total deaths
2020/2/22,0.022889,total recovered
2020/2/23,0.078982,total cases
2020/2/23,0.00247,total deaths
2020/2/23,0.023394,total recovered
2020/2/24,0.079546,total cases
2020/2/24,0.00263,total deaths
2020/2/24,0.025227,total recovered
2020/2/25,0.080399,total cases
2020/2/25,0.00271,total deaths
2020/2/25,0.027905,total recovered
2020/2/26,0.081376,total cases
2020/2/26,0.002771,total deaths
2020/2/26,0.030386,total recovered
2020/2/27,0.082736,total cases
2020/2/27,0.002814,total deaths
2020/2/27,0.033278,total recovered
2020/2/28,0.084123,total cases
2020/2/28,0.002873,total deaths
2020/2/28,0.03671,total recovered
2020/2/29,0.086013,total cases
2020/2/29,0.002942,total deaths
2020/2/29,0.039781,total recovered
2020/3/1,0.088394,total cases
2020/3/1,0.002996,total deaths
2020/3/1,0.042717,total recovered
2020/3/2,0.090377,total cases
2020/3/2,0.003085,total deaths
