country,average IMDb,Long,Lat
United States,5.792271799,-77.82002295,41.00835778
United Kingdom,6.119200954,-1.1743,53.7555
Italy,5.772127139,12.48366722,43.29277044
Spain,5.892569659,-3.7038,41.8168
France,6.357301808,2.2137,47.6276
Poland,6.401666667,19.1451,53.3194
Germany,6.163168724,13.405,53.92
India,6.291029024,77.10898,30.046519
Mexico,6.097206704,-99.7233,20.8969
Ireland,6.215873016,-7.6921,54.5424
Canada,5.735331517,-85.3232,52.6538
Australia,5.952848101,149.0124,-34.0735
South Africa,5.734939759,22.9375,-29.1595
New Zealand,6.457627119,174.886,-39.5006
South Korea,6.343037975,127.766922,37.307757
Hong Kong,6.2082397,114.12,22.26
China,6.154010695,116.4142,41.5824
Japan,6.481226054,139.446921,37.111343
Belgium,6.354054054,4.3517,52.2503
Sweden,6.639473684,18.1384,61.0025
Finland,6.55,25.748151,63.32411
Denmark,6.58125,9.5018,57.6639
Luxembourg,6.388888889,6.1296,51.2153
Austria,6.386666667,14.5501,48.9162
Greece,6.24375,21.8243,40.4742
Netherlands,6.37699115,4.918688,54.000906
Thailand,5.953968254,100.992541,17.270032
Switzerland,6.582894737,8.2275,48.2182
Morocco,6.591666667,-7.0926,33.1917
Hungary,6.382857143,19.5033,48.5625
Philippines,5.865168539,121.774017,14.279721
Malawi,6.35,34.3015,-11.8543
Ukraine,6.65,30.5234,51.8501
United Arab Emirates,5.811627907,53.847818,24.824076
Jordan,7.288888889,36.51,32.64
Qatar,6.923076923,51.1839,26.7548
Iran,7.04,53.688046,33.827908
Norway,6.598181818,8.4689,61.872
Indonesia,6.582692308,113.9213,0.6107
Argentina,6.209433962,-63.6167,-37.0161
Romania,5.841463415,24.9668,47.3432
Brazil,6.50483871,-49.8362,-14.427
Uruguay,6.564705882,-55.7658,-31.1228
Saudi Arabia,7.05,45.079162,25.285942
Iceland,6.339130435,-19.0208,66.3631
Cambodia,7.072727273,104.9167,12.95
Taiwan,6.14625,121.564427,25.033671
Israel,6.306666667,34.851612,32.446051
Georgia,7.433333333,43.3569,43.7154
Russia,5.880327869,37.6174943,57.1504461
Chile,5.55,-70.6505,-32.0376
Pakistan,6.82,73.121219,35.065087
Iraq,6.975,43.679291,34.623191
Libya,7.966666667,17.228331,27.7351
Liberia,7.8,-9.429499,7.828055
Turkey,6.280952381,35.2433,40.3637
Lebanon,6.69,35.8623,35.2547
Ghana,6.9,-1.0232,9.3465
Serbia,6.218181818,21.0059,45.4165
Jamaica,6.35,-77.2975,19.5096
Croatia,6.921428571,15.2,46.5
Namibia,7.6,18.4904,-21.5576
Zimbabwe,6.7,29.154857,-17.615438
Holy See (Vatican City State),6.1,12.27,41.54
Singapore,5.744827586,103.8333,2.6833
Bulgaria,5.55862069,25.4858,44.1339
Senegal,6.5,-14.4524,15.8974
Colombia,5.902857143,-74.0721,6.111
Slovenia,7.075,14.9955,47.5512
Czech Republic,6.476190476,15.473,51.2175
Peru,6.235,-76.604498,-10.366533
Portugal,6.695,-8.2245,40.7999
Bermuda,8,-64.47,32.18
Ecuador,7.14,-78.1834,-0.4312
Egypt,5.342222222,30.802498,28.220553
Malta,6.3,14.3754,37.3375
Malaysia,5.778947368,101.975766,5.610484
Lithuania,5.255555556,23.8813,56.5694
Cayman Islands,5.85,-81.83,19.2
Montenegro,5.633333333,19.37439,44.108678
Nigeria,5.55,8.6753,10.482
Latvia,6.014285714,24.6032,58.2796
Nepal,7.64,84.25,29.5667
Kenya,7.64,37.9062,1.3764
Panama,6.74,-80.7821,9.938
Bolivia,5.966666667,-63.5887,-14.8902
Albania,6.12,20.1683,42.5533
Paraguay,6.55,-58.4438,-22.0425
Bangladesh,7.128571429,90.3563,25.085
Kazakhstan,5.28,66.9237,49.4196
Korea,4.7,125.3,39
Uganda,7.575,32.290275,2.773333
Sri Lanka,7.533333333,80.771797,9.273054
Kuwait,6.1,47.481766,30.71166
Republic of North Macedonia,7.616666667,21.26,42
Venezuela,6.257142857,-66.5897,7.8238
Palestine,6.585714286,35.13,31.47
Tunisia,6.633333333,9.537499,35.286917
Cuba,6.7,-77.781167,22.921757
Federal Republic of Yugoslavia,7.7,20.28,44.49
Monaco,6.225,7.4167,45.1333
Ethiopia,7.7,40.4897,10.545
Syria,6.91,38.996815,36.202075
Dominican Republic,7.083333333,-70.1627,20.1357
Haiti,7.58,-72.2852,20.3712
Estonia,6.483333333,25.0136,59.9953
Slovakia,6.257142857,19.699,50.069
Algeria,6.325,1.6596,29.4339
Afghanistan,7.05,67.709953,35.33911
Bosnia and Herzegovina,7.714285714,17.6791,45.3159
Vietnam,7.05,108.277199,15.458324
Bahrain,6.2,50.55,27.4275
Rwanda,7.566666667,29.8739,-0.5403
Belarus,6.15,27.9534,55.1098
Guatemala,6.663636364,-90.2308,17.1835
Bahamas,5.38,-78.035889,26.425885
Chad,6.7,18.7322,16.8542
The Democratic Republic Of Congo,6.5,15.8277,1.172
Papua New Guinea,7.25,143.95555,-4.914993
Cyprus,6.6,33.4299,36.5264
Kyrgyzstan,7.25,74.766098,42.60438
Swaziland,7.7,31.08,-26.19
Puerto Rico,5.166666667,-66.6,18.27
Laos,7.5,102.495496,21.25627
Djibouti,7.8,42.5903,13.2251
Somalia,8.2,46.199616,6.552149
Costa Rica,5.9,-83.7534,11.1489
Moldova,8.9,28.3699,48.8116
Isle Of Man,7.033333333,-4.54613,54.25859
Kosovo,5.9,20.902977,44.002636
Burkina Faso,6.85,-1.5616,13.6383
Sudan,7.95,30.2176,14.2628
Armenia,5.95,45.0382,41.4691
Mongolia,7.15,103.8467,48.2625
U.S. Virgin Islands,7.3,-64.56,18.21
Guam,8.3,89.49,36.54
Tanzania,7.25,34.888822,-4.969028
Oman,7.1,55.923255,22.912583
Yemen,7.1,48.516388,16.952727
Mozambique,6.2,35.529562,-17.265695
Cameroon,7.15,11.5021,5.248
Mali,6.9,-3.996166,18.970692
Aruba,4.1,-62.59,17.29
Tajikistan,6.8,71.2761,40.261
Honduras,6.55,-86.2419,16.6
Nicaragua,6.966666667,-85.207229,14.265416
Zambia,4.8,27.849332,-11.733897
Azerbaijan,5.3,47.5769,41.5431
El Salvador,6.6,-88.8965,15.1942
Trinidad and Tobago,5,-61.2225,12.0918
Liechtenstein,5,9.55,48.54
Macao,6.6,113.32,22.11
Equatorial Guinea,5.5,10.2679,3.0508
Reunion,5.6,55.27,-20.53
Coate d'Ivoire,3.6,4.01,5.19
Tonga,6.6,-175.12,-21.07
Angola,7.7,17.8739,-9.8027
Botswana,7.7,24.6849,-20.9285
