Total cases,Long,Lat,country
53105,67.71,35.34,Afghanistan
61008,20.17,42.55,Albania
101120,1.66,29.43,Algeria
8348,1.52,43.91,Andorra
17864,17.87,-9.8,Angola
163,-61.8,18.46,Antigua and Barbuda
1676171,-63.62,-37.02,Argentina
160853,45.04,41.47,Armenia
28428,149.01,-34.07,Australia
372190,14.55,48.92,Austria
222200,47.58,41.54,Azerbaijan
7945,-78.04,26.43,Bahamas
94284,50.55,27.43,Bahrain
518898,90.36,25.08,Bangladesh
743,-59.54,14.59,Barbados
204958,27.95,55.11,Belarus
574860,4.35,52.25,Belgium
11108,-88.5,18.59,Belize
3304,2.32,10.71,Benin
755,90.43,28.91,Bhutan
166981,-63.59,-14.89,Bolivia
113392,17.68,45.32,Bosnia and Herzegovina
15440,24.68,-20.93,Botswana
7831452,-49.84,-14.43,Brazil
172,114.73,5.94,Brunei
206392,25.49,44.13,Bulgaria
7563,-1.56,13.64,Burkina Faso
128178,95.96,23.32,Burma
884,29.92,-1.97,Burundi
12052,-23.04,17.94,Cabo Verde
385,104.92,12.95,Cambodia
26848,11.5,5.25,Cameroon
523965,-85.32,52.65,Canada
4963,20.94,8.01,Central African Republic
2328,18.73,16.85,Chad
600975,-70.65,-32.04,Chile
95405,116.41,41.58,China
1716483,-74.07,6.11,Colombia
995,43.33,-10.25,Comoros
7127,15.83,1.17,Congo (Brazzaville)
18487,21.76,-2.64,Congo (Kinshasa)
175038,-83.75,11.15,Costa Rica
22963,-5.55,8.94,Cote d'Ivoire
216286,15.2,46.5,Croatia
13165,-77.78,22.92,Cuba
25781,33.43,36.53,Cyprus
776967,15.47,51.22,Czechia
175023,9.5,57.66,Denmark
712,,,Diamond Princess
5855,42.59,13.23,Djibouti
105,-61.37,16.81,Dominica
176378,-70.16,20.14,Dominican Republic
217377,-78.18,-0.43,Ecuador
145590,30.8,28.22,Egypt
47355,-88.9,15.19,El Salvador
5286,10.27,3.05,Equatorial Guinea
1252,39.78,16.58,Eritrea
30667,25.01,60.0,Estonia
10539,31.47,-25.12,Eswatini
126786,40.49,10.54,Ethiopia
53,178.06,-16.31,Fiji
37549,25.75,63.32,Finland
2749619,2.21,47.63,France
9641,11.61,0.6,Gabon
3812,-15.31,14.84,Gambia
233879,43.36,43.72,Georgia
1590553,13.4,53.92,Germany
55168,-1.02,9.35,Ghana
142267,21.82,40.47,Greece
127,-61.68,13.52,Grenada
140202,-90.23,17.18,Guatemala
13845,-9.7,11.35,Guinea
2455,-15.18,13.2,Guinea-Bissau
6407,-58.93,6.26,Guyana
10127,-72.29,20.37,Haiti
27,12.45,43.3,Holy See
124899,-86.24,16.6,Honduras
331768,19.5,48.56,Hungary
5832,-19.02,66.36,Iceland
10390329,77.11,30.05,India
788402,113.92,0.61,Indonesia
1261903,53.69,33.83,Iran
599965,43.68,34.62,Iraq
121154,-7.69,54.54,Ireland
463448,34.85,32.45,Israel
2165294,12.48,43.29,Italy
13330,-77.3,19.51,Jamaica
241625,139.45,37.11,Japan
302856,36.51,32.64,Jordan
205933,66.92,49.42,Kazakhstan
97398,37.91,1.38,Kenya
66686,127.77,37.31,"Korea, South"
52333,20.9,44.0,Kosovo
152438,47.48,30.71,Kuwait
81656,74.77,42.6,Kyrgyzstan
41,102.5,21.26,Laos
45171,24.6,58.28,Latvia
199925,35.86,35.25,Lebanon
4137,28.23,-28.21,Lesotho
1779,-9.43,7.83,Liberia
102880,17.23,27.74,Libya
2295,9.55,48.54,Liechtenstein
152215,23.88,56.57,Lithuania
47430,6.13,51.22,Luxembourg
9,,,MS Zaandam
17767,46.87,-17.37,Madagascar
7337,34.3,-11.85,Malawi
125438,101.98,5.61,Malaysia
13967,73.22,4.6,Maldives
7395,-4.0,18.97,Mali
13612,14.38,37.34,Malta
4,171.18,8.53,Marshall Islands
15111,-10.94,22.41,Mauritania
539,57.55,-18.95,Mauritius
1462380,-99.72,20.9,Mexico
147871,28.37,48.81,Moldova
978,7.42,45.13,Monaco
1308,103.85,48.26,Mongolia
50697,19.37,44.11,Montenegro
447081,-7.09,33.19,Morocco
19667,35.53,-17.27,Mozambique
26319,18.49,-21.56,Namibia
263193,84.25,29.57,Nepal
847249,4.92,54.0,Netherlands
2188,174.89,-39.5,New Zealand
6097,-85.21,14.27,Nicaragua
3634,8.08,19.01,Niger
94369,8.68,10.48,Nigeria
85328,21.75,43.01,North Macedonia
52967,8.47,61.87,Norway
129888,55.92,22.91,Oman
486659,73.12,35.07,Pakistan
264956,-80.78,9.94,Panama
799,143.96,-4.91,Papua New Guinea
111694,-58.44,-22.04,Paraguay
1003448,-76.6,-10.37,Peru
480737,121.77,14.28,Philippines
1344763,19.15,53.32,Poland
446606,-8.22,40.8,Portugal
145061,51.18,26.75,Qatar
654007,24.97,47.34,Romania
3263118,37.62,57.15,Russia
9058,29.87,-0.54,Rwanda
33,-62.78,18.76,Saint Kitts and Nevis
382,-60.98,15.31,Saint Lucia
149,-61.29,14.38,Saint Vincent and the Grenadines
2,-172.1,-12.36,Samoa
2549,12.46,45.34,San Marino
1025,6.61,1.59,Sao Tome and Principe
363377,45.08,25.29,Saudi Arabia
20156,-14.45,15.9,Senegal
352120,21.01,45.42,Serbia
313,55.49,-3.28,Seychelles
2739,-11.78,9.86,Sierra Leone
58780,103.83,2.68,Singapore
196047,19.7,50.07,Slovakia
131724,15.0,47.55,Slovenia
17,160.16,-8.25,Solomon Islands
4726,46.2,6.55,Somalia
1149591,22.94,-29.16,South Africa
3589,31.31,8.28,South Sudan
1712851,-3.7,41.82,Spain
46248,80.77,9.27,Sri Lanka
23316,30.22,14.26,Sudan
6666,-56.03,5.32,Suriname
464410,18.14,61.0,Sweden
470789,8.23,48.22,Switzerland
11988,39.0,36.2,Syria
819,121.0,25.1,Taiwan*
13305,71.28,40.26,Tajikistan
509,34.89,-4.97,Tanzania
9636,100.99,17.27,Thailand
49,125.73,-7.47,Timor-Leste
3807,0.82,10.02,Togo
7196,-61.22,12.09,Trinidad and Tobago
149881,9.54,35.29,Tunisia
2283931,35.24,40.36,Turkey
21294695,-77.82,41.01,US
36702,32.29,2.77,Uganda
1083736,30.52,51.85,Ukraine
218766,53.85,24.82,United Arab Emirates
2845250,-1.17,53.76,UK
23048,-55.77,-31.12,Uruguay
77350,64.59,42.78,Uzbekistan
1,166.96,-13.98,Vanuatu
114908,-66.59,7.82,Venezuela
1505,108.28,15.46,Vietnam
144257,35.23,33.35,West Bank and Gaza
2102,48.52,16.95,Yemen
23495,27.85,-11.73,Zambia
17804,29.15,-17.62,Zimbabwe
