States,Spending,id
Washington,5548736,53
Oregon,549031,41
California,28561144,6
Idaho,334179,16
Nevada,5304084,32
Utah,4126824,49
Arizona,3841681,4
Montana,62497,30
Wyoming,173226,56
Colorado,5582477,8
New Mexico,61389,35
North Dakota,741,38
South Dakota,25784,46
Nebraska,263738,31
Kansas,2359591,20
Oklahoma,2761567,40
Texas,28810685,48
Minnesota,3488290,27
Iowa,15076131,19
Missouri,9822533,29
Arkansas,3341382,5
Louisiana,3982848,22
Michigan,4028244,26
Wisconsin,4314736,55
Illinois,12441282,17
Indiana,1198364,18
Kentucky,1195825,21
Tennessee,19985933,47
Mississippi,285466,28
Alabama,4209129,1
Georgia,5748904,13
Florida,17076614,12
Ohio,31680403,39
West Virginia,66307,54
Virginia,169629832,51
North Carolina,1182320,37
South Carolina,8649458,45
Pennsylvania,11127572,42
Maryland,14569266,24
Delaware,94087,10
New Jersey,19266956,34
New York,56093529,36
Connecticut,6986202,9
Rhode Island,1380383,44
Massachusetts,9310107,25
Vermont,5169500,50
New Hampshire,8570018,33
Maine,646885,23
Alaska,85056,2
Hawaii,93718,15
