date,Total cases and total deaths (M),Symbol
2020/1/1,0,total cases
2020/1/1,0,total deaths
2020/1/1,0,total recovered
2020/1/2,0,total cases
2020/1/2,0,total deaths
2020/1/2,0,total recovered
2020/1/3,0,total cases
2020/1/3,0,total deaths
2020/1/3,0,total recovered
2020/1/4,0,total cases
2020/1/4,0,total deaths
2020/1/4,0,total recovered
2020/1/5,0,total cases
2020/1/5,0,total deaths
2020/1/5,0,total recovered
2020/1/6,0,total cases
2020/1/6,0,total deaths
2020/1/6,0,total recovered
2020/1/7,0,total cases
2020/1/7,0,total deaths
2020/1/7,0,total recovered
2020/1/8,0,total cases
2020/1/8,0,total deaths
2020/1/8,0,total recovered
2020/1/9,0,total cases
2020/1/9,0,total deaths
2020/1/9,0,total recovered
2020/1/10,0,total cases
2020/1/10,0,total deaths
2020/1/10,0,total recovered
2020/1/11,0,total cases
2020/1/11,0,total deaths
2020/1/11,0,total recovered
2020/1/12,0,total cases
2020/1/12,0,total deaths
2020/1/12,0,total recovered
2020/1/13,0,total cases
2020/1/13,0,total deaths
2020/1/13,0,total recovered
2020/1/14,0,total cases
2020/1/14,0,total deaths
2020/1/14,0,total recovered
2020/1/15,0,total cases
2020/1/15,0,total deaths
2020/1/15,0,total recovered
2020/1/16,0,total cases
2020/1/16,0,total deaths
2020/1/16,0,total recovered
2020/1/17,0,total cases
2020/1/17,0,total deaths
2020/1/17,0,total recovered
2020/1/18,0,total cases
2020/1/18,0,total deaths
2020/1/18,0,total recovered
2020/1/19,0,total cases
2020/1/19,0,total deaths
2020/1/19,0,total recovered
2020/1/20,0,total cases
2020/1/20,0,total deaths
2020/1/20,0,total recovered
2020/1/21,0,total cases
2020/1/21,0,total deaths
2020/1/21,0,total recovered
2020/1/22,555,total cases
2020/1/22,17,total deaths
2020/1/22,30,total recovered
2020/1/23,654,total cases
2020/1/23,18,total deaths
2020/1/23,32,total recovered
2020/1/24,941,total cases
2020/1/24,26,total deaths
2020/1/24,39,total recovered
2020/1/25,1434,total cases
2020/1/25,42,total deaths
2020/1/25,42,total recovered
2020/1/26,2118,total cases
2020/1/26,56,total deaths
2020/1/26,56,total recovered
2020/1/27,2927,total cases
2020/1/27,82,total deaths
2020/1/27,65,total recovered
2020/1/28,5578,total cases
2020/1/28,131,total deaths
2020/1/28,108,total recovered
2020/1/29,6167,total cases
2020/1/29,133,total deaths
2020/1/29,127,total recovered
2020/1/30,8235,total cases
2020/1/30,171,total deaths
2020/1/30,145,total recovered
2020/1/31,9927,total cases
2020/1/31,213,total deaths
2020/1/31,225,total recovered
2020/2/1,12038,total cases
2020/2/1,259,total deaths
2020/2/1,287,total recovered
2020/2/2,16787,total cases
2020/2/2,362,total deaths
2020/2/2,476,total recovered
2020/2/3,19887,total cases
2020/2/3,426,total deaths
2020/2/3,627,total recovered
2020/2/4,23898,total cases
2020/2/4,492,total deaths
2020/2/4,857,total recovered
2020/2/5,27643,total cases
2020/2/5,564,total deaths
2020/2/5,1129,total recovered
2020/2/6,30803,total cases
2020/2/6,634,total deaths
2020/2/6,1492,total recovered
2020/2/7,34396,total cases
2020/2/7,719,total deaths
2020/2/7,2016,total recovered
2020/2/8,37130,total cases
2020/2/8,806,total deaths
2020/2/8,2616,total recovered
2020/2/9,40160,total cases
2020/2/9,906,total deaths
2020/2/9,3245,total recovered
2020/2/10,42769,total cases
2020/2/10,1013,total deaths
2020/2/10,3947,total recovered
2020/2/11,44811,total cases
2020/2/11,1113,total deaths
2020/2/11,4684,total recovered
2020/2/12,45229,total cases
2020/2/12,1118,total deaths
2020/2/12,5151,total recovered
2020/2/13,60382,total cases
2020/2/13,1371,total deaths
2020/2/13,6294,total recovered
2020/2/14,66909,total cases
