date,total cases and total deaths (M),Symbol
2020/1/22,555.0,total cases
2020/1/22,17.0,total deaths
2020/1/22,30.0,total recovered
2020/1/23,654.0,total cases
2020/1/23,18.0,total deaths
2020/1/23,32.0,total recovered
2020/1/24,941.0,total cases
2020/1/24,26.0,total deaths
2020/1/24,39.0,total recovered
2020/1/25,1434.0,total cases
2020/1/25,42.0,total deaths
2020/1/25,42.0,total recovered
2020/1/26,2118.0,total cases
2020/1/26,56.0,total deaths
2020/1/26,56.0,total recovered
2020/1/27,2927.0,total cases
2020/1/27,82.0,total deaths
2020/1/27,65.0,total recovered
2020/1/28,5578.0,total cases
2020/1/28,131.0,total deaths
2020/1/28,108.0,total recovered
2020/1/29,6167.0,total cases
2020/1/29,133.0,total deaths
2020/1/29,127.0,total recovered
2020/1/30,8235.0,total cases
2020/1/30,171.0,total deaths
2020/1/30,145.0,total recovered
2020/1/31,9927.0,total cases
2020/1/31,213.0,total deaths
2020/1/31,225.0,total recovered
2020/2/1,12038.0,total cases
2020/2/1,259.0,total deaths
2020/2/1,287.0,total recovered
2020/2/2,16787.0,total cases
2020/2/2,362.0,total deaths
2020/2/2,476.0,total recovered
2020/2/3,19887.0,total cases
2020/2/3,426.0,total deaths
2020/2/3,627.0,total recovered
2020/2/4,23898.0,total cases
2020/2/4,492.0,total deaths
2020/2/4,857.0,total recovered
2020/2/5,27643.0,total cases
2020/2/5,564.0,total deaths
2020/2/5,1129.0,total recovered
2020/2/6,30803.0,total cases
2020/2/6,634.0,total deaths
2020/2/6,1492.0,total recovered
2020/2/7,34396.0,total cases
2020/2/7,719.0,total deaths
2020/2/7,2016.0,total recovered
2020/2/8,37130.0,total cases
2020/2/8,806.0,total deaths
2020/2/8,2616.0,total recovered
2020/2/9,40160.0,total cases
2020/2/9,906.0,total deaths
2020/2/9,3245.0,total recovered
2020/2/10,42769.0,total cases
2020/2/10,1013.0,total deaths
2020/2/10,3947.0,total recovered
2020/2/11,44811.0,total cases
2020/2/11,1113.0,total deaths
2020/2/11,4684.0,total recovered
2020/2/12,45229.0,total cases
2020/2/12,1118.0,total deaths
2020/2/12,5151.0,total recovered
2020/2/13,60382.0,total cases
2020/2/13,1371.0,total deaths
2020/2/13,6294.0,total recovered
2020/2/14,66909.0,total cases
2020/2/14,1523.0,total deaths
2020/2/14,8057.0,total recovered
2020/2/15,69051.0,total cases
2020/2/15,1666.0,total deaths
2020/2/15,9396.0,total recovered
2020/2/16,71235.0,total cases
2020/2/16,1770.0,total deaths
2020/2/16,10866.0,total recovered
2020/2/17,73270.0,total cases
2020/2/17,1868.0,total deaths
2020/2/17,12583.0,total recovered
2020/2/18,75152.0,total cases
2020/2/18,2008.0,total deaths
2020/2/18,14352.0,total recovered
2020/2/19,75652.0,total cases
2020/2/19,2123.0,total deaths
2020/2/19,16121.0,total recovered
2020/2/20,76212.0,total cases
2020/2/20,2248.0,total deaths
2020/2/20,18179.0,total recovered
2020/2/21,76841.0,total cases
2020/2/21,2252.0,total deaths
2020/2/21,18892.0,total recovered
2020/2/22,78602.0,total cases
2020/2/22,2459.0,total deaths
2020/2/22,22889.0,total recovered
2020/2/23,78982.0,total cases
2020/2/23,2470.0,total deaths
2020/2/23,23394.0,total recovered
2020/2/24,79546.0,total cases
2020/2/24,2630.0,total deaths
2020/2/24,25227.0,total recovered
2020/2/25,80399.0,total cases
2020/2/25,2710.0,total deaths
2020/2/25,27905.0,total recovered
2020/2/26,81376.0,total cases
2020/2/26,2771.0,total deaths
2020/2/26,30386.0,total recovered
2020/2/27,82736.0,total cases
2020/2/27,2814.0,total deaths
2020/2/27,33278.0,total recovered
2020/2/28,84123.0,total cases
2020/2/28,2873.0,total deaths
2020/2/28,36710.0,total recovered
2020/2/29,86013.0,total cases
2020/2/29,2942.0,total deaths
2020/2/29,39781.0,total recovered
2020/3/1,88394.0,total cases
2020/3/1,2996.0,total deaths
2020/3/1,42717.0,total recovered
2020/3/2,90377.0,total cases
2020/3/2,3085.0,total deaths
2020/3/2,45601.0,total recovered
2020/3/3,92971.0,total cases
2020/3/3,3160.0,total deaths
2020/3/3,48227.0,total recovered
2020/3/4,95279.0,total cases
2020/3/4,3255.0,total deaths
2020/3/4,51169.0,total recovered
2020/3/5,98090.0,total cases
2020/3/5,3349.0,total deaths
2020/3/5,53795.0,total recovered
2020/3/6,102003.0,total cases
2020/3/6,3460.0,total deaths
2020/3/6,55863.0,total recovered
2020/3/7,106098.0,total cases
2020/3/7,3564.0,total deaths
2020/3/7,58357.0,total recovered
2020/3/8,110047.0,total cases
2020/3/8,3803.0,total deaths
2020/3/8,60694.0,total recovered
2020/3/9,114219.0,total cases
2020/3/9,3993.0,total deaths
2020/3/9,62493.0,total recovered
2020/3/10,119041.0,total cases
2020/3/10,4267.0,total deaths
2020/3/10,64400.0,total recovered
2020/3/11,126702.0,total cases
