Date,Netflix,Hulu,Prime Video,Disney+
1900,0.0,0.0,0.0,0.0
1901,0.0,0.0,0.0,0.0
1902,0.0,0.0,1.0,0.0
1903,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,0.0
1912,0.0,0.0,1.0,0.0
1913,0.0,0.0,2.0,0.0
1914,0.0,0.0,0.0,0.0
1915,0.0,0.0,4.0,0.0
1916,0.0,0.0,1.0,0.0
1917,0.0,0.0,1.0,0.0
1918,0.0,0.0,3.0,0.0
1919,0.0,0.0,2.0,0.0
1920,0.0,0.0,5.0,0.0
1921,0.0,0.0,3.0,1.0
1922,0.0,0.0,7.0,1.0
1923,0.0,1.0,2.0,1.0
1924,0.0,0.0,1.0,0.0
1925,0.0,0.0,6.0,0.0
1926,0.0,0.0,3.0,0.0
1927,0.0,0.0,2.0,0.0
1928,0.0,0.0,2.0,1.0
1929,0.0,0.0,6.0,0.0
1930,0.0,0.0,12.0,0.0
1931,0.0,0.0,20.0,0.0
1932,0.0,0.0,27.0,1.0
1933,0.0,0.0,36.0,0.0
1934,0.0,0.0,34.0,0.0
1935,0.0,0.0,40.0,0.0
1936,0.0,0.0,46.0,0.0
1937,0.0,0.0,54.0,1.0
1938,0.0,0.0,36.0,0.0
1939,0.0,0.0,38.0,0.0
1940,0.0,0.0,38.0,2.0
1941,0.0,0.0,46.0,1.0
1942,2.0,0.0,46.0,2.0
1943,2.0,0.0,49.0,0.0
1944,2.0,0.0,36.0,1.0
1945,3.0,0.0,33.0,0.0
1946,1.0,0.0,35.0,0.0
1947,1.0,0.0,30.0,2.0
1948,0.0,0.0,34.0,1.0
1949,0.0,1.0,26.0,1.0
1950,0.0,2.0,23.0,2.0
1951,0.0,1.0,24.0,3.0
1952,0.0,0.0,29.0,2.0
1953,0.0,1.0,48.0,3.0
1954,0.0,1.0,36.0,1.0
1955,0.0,2.0,23.0,3.0
1956,0.0,0.0,33.0,3.0
1957,0.0,2.0,40.0,2.0
1958,0.0,0.0,34.0,1.0
1959,1.0,0.0,41.0,4.0
1960,1.0,0.0,34.0,1.0
1961,0.0,0.0,36.0,4.0
1962,1.0,0.0,33.0,2.0
1963,0.0,2.0,27.0,3.0
1964,1.0,1.0,35.0,2.0
1965,0.0,0.0,33.0,4.0
1966,2.0,0.0,26.0,1.0
1967,0.0,1.0,44.0,2.0
1968,2.0,0.0,30.0,2.0
1969,0.0,0.0,48.0,2.0
1970,0.0,0.0,46.0,1.0
1971,2.0,1.0,76.0,3.0
1972,1.0,2.0,82.0,3.0
1973,4.0,3.0,70.0,0.0
1974,1.0,1.0,78.0,3.0
1975,4.0,0.0,60.0,4.0
1976,3.0,1.0,81.0,3.0
1977,2.0,1.0,76.0,6.0
1978,6.0,0.0,77.0,3.0
1979,6.0,2.0,71.0,5.0
1980,6.0,0.0,65.0,4.0
1981,6.0,0.0,66.0,2.0
1982,8.0,4.0,59.0,2.0
1983,5.0,2.0,51.0,2.0
1984,6.0,4.0,54.0,1.0
1985,4.0,2.0,59.0,4.0
1986,6.0,2.0,67.0,7.0
1987,6.0,0.0,86.0,4.0
1988,11.0,5.0,78.0,5.0
1989,8.0,5.0,76.0,4.0
1990,9.0,2.0,58.0,4.0
1991,9.0,4.0,74.0,1.0
1992,14.0,2.0,56.0,5.0
1993,13.0,5.0,52.0,8.0
1994,10.0,3.0,83.0,7.0
1995,11.0,4.0,86.0,9.0
1996,7.0,2.0,93.0,8.0
1997,14.0,6.0,87.0,10.0
1998,17.0,8.0,93.0,18.0
1999,11.0,6.0,119.0,14.0
2000,19.0,6.0,130.0,21.0
2001,22.0,4.0,120.0,16.0
2002,21.0,9.0,150.0,20.0
2003,30.0,6.0,158.0,25.0
2004,25.0,7.0,173.0,20.0
2005,33.0,13.0,227.0,20.0
2006,41.0,11.0,276.0,18.0
2007,34.0,6.0,327.0,15.0
2008,66.0,23.0,353.0,14.0
2009,68.0,26.0,457.0,15.0
2010,88.0,24.0,429.0,12.0
2011,88.0,32.0,538.0,19.0
2012,112.0,38.0,712.0,15.0
2013,133.0,45.0,811.0,12.0
2014,174.0,46.0,783.0,12.0
2015,272.0,61.0,765.0,10.0
2016,444.0,62.0,730.0,17.0
2017,569.0,124.0,763.0,22.0
2018,560.0,158.0,625.0,16.0
2019,428.0,104.0,172.0,23.0
2020,104.0,6.0,31.0,9.0
