Date,Residential,Educational,Highway and Street
2002/1/1,25972000000,5125000000,3180000000
2002/2/1,25721000000,5134000000,2979000000
2002/3/1,29826000000,5256000000,2966000000
2002/4/1,33008000000,5838000000,3772000000
2002/5/1,35059000000,6288000000,4991000000
2002/6/1,37908000000,6686000000,5597000000
2002/7/1,38880000000,7168000000,6180000000
2002/8/1,38359000000,7551000000,6621000000
2002/9/1,36082000000,6914000000,6549000000
2002/10/1,36226000000,6524000000,5917000000
2002/11/1,34570000000,5981000000,4696000000
2002/12/1,30352000000,5398000000,4035000000
2003/1/1,28794000000,5289000000,3077000000
2003/2/1,28015000000,5032000000,2824000000
2003/3/1,32176000000,5403000000,3021000000
2003/4/1,34739000000,5751000000,3865000000
2003/5/1,37169000000,6294000000,4793000000
2003/6/1,40408000000,7125000000,5695000000
2003/7/1,43048000000,7479000000,5975000000
2003/8/1,43671000000,7609000000,6519000000
2003/9/1,41846000000,6878000000,6864000000
2003/10/1,42798000000,6375000000,5977000000
2003/11/1,41530000000,5707000000,4865000000
2003/12/1,37059000000,5373000000,3664000000
2004/1/1,34112000000,4974000000,2886000000
2004/2/1,33451000000,4987000000,2716000000
2004/3/1,39395000000,5424000000,3434000000
2004/4/1,42264000000,5799000000,4270000000
2004/5/1,45976000000,6118000000,5246000000
2004/6/1,49245000000,7203000000,6161000000
2004/7/1,52065000000,7465000000,6213000000
2004/8/1,53427000000,7598000000,6517000000
2004/9/1,49850000000,6956000000,6184000000
2004/10/1,49831000000,6274000000,5842000000
2004/11/1,46988000000,5934000000,5287000000
2004/12/1,41806000000,5519000000,3868000000
2005/1/1,39584000000,5152000000,2978000000
2005/2/1,39828000000,5169000000,3169000000
2005/3/1,45962000000,5652000000,3636000000
2005/4/1,49906000000,6204000000,4395000000
2005/5/1,52580000000,6719000000,5632000000
2005/6/1,56941000000,7675000000,6565000000
2005/7/1,60026000000,7962000000,6815000000
2005/8/1,61377000000,8222000000,7365000000
2005/9/1,58829000000,7352000000,7383000000
2005/10/1,59799000000,6865000000,6558000000
2005/11/1,55939000000,6548000000,5505000000
2005/12/1,49412000000,6167000000,4139000000
2006/1/1,46016000000,5806000000,3288000000
2006/2/1,45647000000,5785000000,3399000000
2006/3/1,52192000000,6226000000,4150000000
2006/4/1,54544000000,6463000000,5216000000
2006/5/1,55564000000,7003000000,6729000000
2006/6/1,56924000000,8039000000,7705000000
2006/7/1,57289000000,8359000000,8048000000
2006/8/1,56489000000,8482000000,8358000000
2006/9/1,52193000000,7738000000,7640000000
2006/10/1,51075000000,7234000000,7073000000
2006/11/1,45842000000,7061000000,6002000000
2006/12/1,40100000000,6733000000,4431000000
2007/1/1,36794000000,6300000000,3909000000
2007/2/1,35889000000,6089000000,3817000000
2007/3/1,41096000000,6627000000,4405000000
2007/4/1,44144000000,7345000000,5419000000
